,MS SubClass,Lot Frontage,Lot Area,Lot Shape,Utilities,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice,TotalGoodSQ,TotalSQ,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Street_Pave,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosA,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 1_RRNe,Condition 1_RRNn,Condition 2_Feedr,Condition 2_Norm,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAe,Condition 2_RRAn,Condition 2_RRNn,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_ImStucc,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_PreCast,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 2nd_AsphShn,Exterior 2nd_Brk Cmn,Exterior 2nd_BrkFace,Exterior 2nd_CBlock,Exterior 2nd_CmentBd,Exterior 2nd_HdBoard,Exterior 2nd_ImStucc,Exterior 2nd_MetalSd,Exterior 2nd_Other,Exterior 2nd_Plywood,Exterior 2nd_PreCast,Exterior 2nd_Stone,Exterior 2nd_Stucco,Exterior 2nd_VinylSd,Exterior 2nd_Wd Sdng,Exterior 2nd_Wd Shng,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Central Air_Y,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_No Garage,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD 
0,60,69.22459016393442,13517,0.9055113206130321,1.0,0.8813474756752515,0.3902550148728713,0.7530009983658427,1976,2005,289.0,0.616360344765164,0.7841157116243731,0.42484263681731793,0.8216378421610232,0.6057699985889117,1.0,533.0,0.8369692009144983,0.0,192.0,725.0,1.0,1.0,725,754,0,1479,0.0,0.0,2,1,3,1,0.629054883117901,6,1.0,0,0.42838321266618695,1976.0,0.8540094627476195,2.0,475.0,0.7160470644230313,0.9004025767981475,1.0,0,44,0,0,0,0,0,3,2010,130500.0,3491.0,3683.0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,60,43.0,11492,0.9055113206130321,1.0,0.8813474756752515,0.4873789157246148,1.0,1996,1997,132.0,0.616360344765164,0.7841157116243731,0.6146692362149611,0.8216378421610232,0.6057699985889117,1.0,637.0,0.8369692009144983,0.0,276.0,913.0,1.0,1.0,913,1209,0,2122,1.0,0.0,2,1,4,1,0.629054883117901,8,1.0,1,0.6181148317212746,1997.0,0.8540094627476195,2.0,559.0,0.7160470644230313,0.9004025767981475,1.0,0,74,0,0,0,0,0,4,2009,220000.0,4881.0,5157.0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,20,68.0,7922,0.6963988357605972,1.0,0.8813474756752515,0.32334632339372626,0.7501703825045857,1953,2007,0.0,0.3826065808352946,0.7094738284682306,0.42484263681731793,0.8216378421610232,0.6057699985889117,1.0,731.0,0.8369692009144983,0.0,326.0,1057.0,0.6433747371158498,1.0,1057,0,0,1057,1.0,0.0,1,0,3,1,0.629054883117901,5,1.0,0,0.42838321266618695,1953.0,0.5868130055812731,1.0,246.0,0.7160470644230313,0.9004025767981475,1.0,0,52,0,0,0,0,0,1,2010,109000.0,2845.0,3171.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,60,73.0,9802,0.6963988357605972,1.0,0.8813474756752515,0.32334632339372626,1.0,2006,2007,0.0,0.3826065808352946,0.7841157116243731,0.6146692362149611,0.8216378421610232,0.6057699985889117,0.6993147444892988,0.0,0.8369692009144983,0.0,384.0,384.0,0.7414515730156677,1.0,744,700,0,1444,0.0,0.0,2,1,3,1,0.4146595225774261,7,1.0,0,0.42838321266618695,2007.0,1.0,2.0,400.0,0.7160470644230313,0.9004025767981475,1.0,100,0,0,0,0,0,0,4,2010,174000.0,2888.0,3272.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4,50,82.0,14235,0.9055113206130321,1.0,0.8813474756752515,0.3902550148728713,0.7530009983658427,1900,1993,0.0,0.3826065808352946,0.7841157116243731,0.32701062821998905,1.0,0.6057699985889117,0.6993147444892988,0.0,0.8369692009144983,0.0,676.0,676.0,0.6433747371158498,1.0,831,614,0,1445,0.0,0.0,2,0,3,1,0.4146595225774261,6,1.0,0,0.42838321266618695,1957.0,0.5868130055812731,2.0,484.0,0.7160470644230313,0.9004025767981475,0.553851524660112,0,59,0,0,0,0,0,3,2010,138500.0,2890.0,3566.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,20,137.0,16492,0.9055113206130321,1.0,0.8813474756752515,0.3902550148728713,0.7193835183124695,1966,2002,0.0,0.616360344765164,0.7841157116243731,0.42484263681731793,0.8216378421610232,0.6057699985889117,0.6917926034843753,247.0,0.7435099412562133,713.0,557.0,1517.0,1.0,1.0,1888,0,0,1888,0.0,0.0,2,1,2,1,0.629054883117901,6,0.8051367233707051,1,0.7046498809455012,1966.0,1.0,2.0,578.0,0.7160470644230313,0.9004025767981475,1.0,0,0,0,0,0,0,0,6,2010,190000.0,4736.0,5293.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,180,35.0,3675,0.6963988357605972,1.0,0.8813474756752515,0.3902550148728713,1.0,2005,2006,82.0,0.3826065808352946,0.7841157116243731,0.6146692362149611,0.8216378421610232,1.0,1.0,547.0,0.8369692009144983,0.0,0.0,547.0,0.7414515730156677,1.0,1072,0,0,1072,1.0,0.0,2,0,2,1,0.4146595225774261,5,1.0,0,0.42838321266618695,2005.0,1.0,2.0,525.0,0.7160470644230313,0.9004025767981475,1.0,0,44,0,0,0,0,0,6,2006,140000.0,2691.0,2691.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,20,69.22459016393442,12160,0.9055113206130321,1.0,0.8813474756752515,0.32334632339372626,1.0,1959,1959,180.0,0.3826065808352946,0.7841157116243731,0.42484263681731793,0.8216378421610232,0.6057699985889117,0.6029673542511822,1000.0,0.8369692009144983,0.0,188.0,1188.0,0.542169786260681,1.0,1188,0,0,1188,1.0,0.0,1,0,3,1,0.4146595225774261,6,1.0,0,0.42838321266618695,1959.0,0.8540094627476195,2.0,531.0,0.7160470644230313,0.9004025767981475,1.0,0,0,0,0,0,0,0,5,2010,142000.0,3376.0,3564.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20,69.22459016393442,15783,0.6963988357605972,1.0,0.8813474756752515,0.32334632339372626,1.0,1952,1952,0.0,0.3826065808352946,0.7841157116243731,0.42484263681731793,0.8216378421610232,0.6057699985889117,0.6029673542511822,292.0,0.8369692009144983,0.0,632.0,924.0,0.6433747371158498,1.0,924,0,0,924,0.0,0.0,1,0,2,1,0.4146595225774261,6,1.0,0,0.42838321266618695,1952.0,0.5868130055812731,1.0,420.0,0.7160470644230313,0.9004025767981475,1.0,0,324,0,0,0,0,400,6,2007,112500.0,2140.0,2772.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9,60,70.0,11606,0.9055113206130321,1.0,0.9509309415733536,0.32334632339372626,1.0,1969,1969,192.0,0.3826065808352946,0.7841157116243731,0.6146692362149611,0.8216378421610232,0.7594051072641844,0.6029673542511822,650.0,0.8369692009144983,0.0,390.0,1040.0,0.6433747371158498,1.0,1040,1040,0,2080,0.0,1.0,1,2,5,1,0.30121161930267465,9,1.0,2,0.6181148317212746,1969.0,0.5868130055812731,2.0,504.0,0.7160470644230313,0.9004025767981475,1.0,335,0,0,0,0,0,0,9,2007,135000.0,4810.0,5200.0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,160,21.0,1680,0.6963988357605972,1.0,0.8813474756752515,0.3902550148728713,1.0,1971,1971,232.0,0.3826065808352946,0.7841157116243731,0.42484263681731793,0.8216378421610232,0.6057699985889117,0.6917926034843753,387.0,0.8369692009144983,0.0,96.0,483.0,0.6433747371158498,1.0,483,504,0,987,0.0,0.0,1,1,2,1,0.4146595225774261,4,1.0,0,0.42838321266618695,1971.0,0.5868130055812731,1.0,264.0,0.7160470644230313,0.9004025767981475,1.0,0,0,0,0,0,0,0,7,2008,85400.0,2361.0,2457.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,20,64.0,7488,0.9055113206130321,1.0,0.8813474756752515,0.4873789157246148,1.0,2005,2005,0.0,0.616360344765164,0.7841157116243731,0.6146692362149611,0.8216378421610232,0.7594051072641844,1.0,393.0,0.8369692009144983,0.0,815.0,1208.0,1.0,1.0,1208,0,0,1208,0.0,0.0,2,0,2,1,0.629054883117901,6,1.0,0,0.42838321266618695,2005.0,0.8540094627476195,2.0,632.0,0.7160470644230313,0.9004025767981475,1.0,105,58,0,0,0,0,0,2,2006,183600.0,2809.0,3624.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,70,120.0,26400,0.6963988357605972,1.0,0.8813474756752515,0.32334632339372626,0.7501703825045857,1880,2007,0.0,0.616360344765164,0.7841157116243731,0.32272901101307894,0.4748026916507283,0.41101462005194517,0.44756977387521835,0.0,0.49486588987153834,0.0,0.0,0.0,1.0,1.0,1288,728,0,2016,0.0,0.0,1,0,4,1,0.4146595225774261,7,0.8051367233707051,1,0.6181148317212746,1900.0,0.5868130055812731,2.0,576.0,0.7160470644230313,0.9004025767981475,0.6876581043577717,0,0,0,0,0,0,0,6,2009,131000.0,4032.0,4032.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,160,24.0,2645,0.6963988357605972,1.0,0.8813474756752515,0.6503097213045543,1.0,1999,2000,456.0,0.616360344765164,0.7841157116243731,0.6146692362149611,0.8216378421610232,0.6057699985889117,1.0,813.0,0.8369692009144983,0.0,147.0,960.0,1.0,1.0,962,645,0,1607,1.0,0.0,2,1,3,1,0.629054883117901,7,1.0,0,0.42838321266618695,2000.0,0.5868130055812731,2.0,480.0,0.7160470644230313,0.9004025767981475,1.0,169,0,0,0,0,0,0,12,2008,200000.0,4027.0,4174.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
